,APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,Unnamed: 13,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
96,16492871.0,2017-10-10,2018-10-26,12.0,FC UP L.G 2 TSA SCORE NEW- 617,10000000.0,550000.0,10550000.0,44.5,18.0,,1.0,9908929.0,,1.0,1.0,1.0,,M,48.0,,,0.0,6000000.0,15000000.0,3000000.0,Married,High School,Tỉnh Sóc Trăng,Long Phú,Tỉnh Sóc Trăng
4181,16392229.0,2017-10-02,2018-10-26,12.0,FC CD NONKEY MAR SUB3.4-1495,5220000.0,344520.0,5564520.0,0.01,6.0,6.0,,,,1.0,1.0,,,M,27.0,,6900000.0,0.0,500000.0,50000000.0,3000000.0,Married,High School,Tỉnh Đồng Nai,Long Thành,
3353,16550361.0,2017-10-11,2018-10-26,12.0,FC UP DSA TS SCORE 1 NEW- 761,40000000.0,,,35.0,24.0,12.0,1.0,,,1.0,1.0,1.0,,F,39.0,,10000000.0,0.0,18000000.0,30000000.0,5000000.0,Married,Middle School,Tỉnh Đắk Lắk,Ea Kar,Tỉnh Đắk Lắk
139,16356573.0,2017-10-03,2018-10-26,12.0,FC UP L.G 2 TSA SCORE NEW- 617,30000000.0,1650000.0,31650000.0,44.5,24.0,,,,,,,,2014302.0,M,28.0,,18000000.0,0.0,24000000.0,30000000.0,5000000.0,Married,College,Tỉnh Hưng Yên,Phù Cừ,
4954,,2017-10-14,2018-10-26,12.0,FC CD SAMSUNG JULY IN-1745,4893000.0,322938.0,5215938.0,0.01,6.0,6.0,1.0,5292000.0,,1.0,1.0,1.0,870000.0,M,30.0,1.0,5000000.0,0.0,900000.0,15000000.0,4000000.0,Civil Marriage/live-in,College,Tỉnh Thanh Hóa,Yên Định,Tỉnh Thanh Hóa
2602,16766232.0,2017-10-24,2018-10-26,12.0,FC UP DSA TS SCORE 2 NEW- 762,20000000.0,1100000.0,21100000.0,45.0,18.0,11.0,0.0,17985000.0,,0.0,0.0,,1633069.0,F,,,8000000.0,0.0,12000000.0,25000000.0,5000000.0,Married,High School,Tỉnh Sóc Trăng,Trần Đề,Tỉnh Sóc Trăng
4023,16737589.0,2017-10-21,2018-10-26,12.0,FC UP DSA TS SCORE 1 NEW- 761,20000000.0,1100000.0,,35.0,24.0,9.0,0.0,,,0.0,,,1234743.0,,54.0,,9000000.0,0.0,8400000.0,20000000.0,,Married,Middle School,Tỉnh An Giang,Tân Châu,
4772,16320977.0,2017-10-02,,12.0,FC TW LIGHT START 3 - 139,12190000.0,609500.0,12799500.0,68.0,6.0,4.0,0.0,15528000.0,,1.0,0.0,1.0,2576000.0,M,21.0,,8000000.0,0.0,1000000.0,17000000.0,6000000.0,Married,High School,Tỉnh Hoà Bình,Đà Bắc,Tỉnh Hoà Bình
1606,16749968.0,2017-10-21,2018-10-26,12.0,FC CD PORT LP NEW-1848,3843000.0,192150.0,4035150.0,65.0,6.0,6.0,1.0,4906000.0,,1.0,1.0,1.0,806000.0,M,38.0,2.0,5000000.0,0.0,1000000.0,10000000.0,3000000.0,,College,Tỉnh Sóc Trăng,,Tỉnh Sóc Trăng
1629,16417043.0,2017-10-05,,12.0,FC CD KEY DEALERS 2 NEW- 1801,4990000.0,249500.0,,35.0,12.0,12.0,1.0,6429000.0,,,1.0,,524000.0,M,33.0,,6500000.0,0.0,1200000.0,14500000.0,,Married,College,Thành phố Hải Phòng,Ngô Quyền,Thành phố Hải Phòng
1539,16759183.0,2017-10-24,2018-10-26,12.0,,20000000.0,1100000.0,21100000.0,44.5,18.0,8.0,0.0,13080000.0,,0.0,0.0,,,,22.0,,6000000.0,0.0,10200000.0,27000000.0,3200000.0,,,Tỉnh Bình Dương,Thuận An,Tỉnh Bình Dương
1694,16568515.0,2017-10-10,2018-10-26,12.0,FC CD KEY DEALERS 1 - 811,2390000.0,119500.0,2509500.0,45.0,9.0,5.0,0.0,1730000.0,,0.0,0.0,0.0,334000.0,F,37.0,,5000000.0,0.0,600000.0,12000000.0,3800000.0,,Working Cerfiticate,Tỉnh Yên Bái,Yên Bái,Tỉnh Yên Bái
2059,16762291.0,2017-10-21,2018-10-26,12.0,FC UP L.G 1 TSA SCORE NEW- 616,10000000.0,550000.0,10550000.0,33.5,12.0,12.0,1.0,12860633.0,,1.0,1.0,1.0,1046737.0,M,24.0,,7000000.0,0.0,6000000.0,13000000.0,3000000.0,Single,High School,Tỉnh Nghệ An,Quỳnh Lưu,Tỉnh Nghệ An
463,16723092.0,2017-10-19,2018-10-26,,FC CD NON-PORTABLE LOW PRICE - 801,8000000.0,400000.0,8400000.0,65.0,6.0,6.0,1.0,10140000.0,,1.0,1.0,1.0,1678000.0,M,30.0,2.0,6000000.0,0.0,900000.0,19000000.0,3500000.0,Married,High School,Thành phố Hải Phòng,Thuỷ Nguyên,Thành phố Hải Phòng
2330,16720315.0,2017-10-17,2018-10-26,12.0,FC CD KEY DEALERS 2 NEW- 1801,5390000.0,269500.0,5659500.0,35.0,9.0,7.0,0.0,5159000.0,,0.0,0.0,0.0,725000.0,F,20.0,,5000000.0,0.0,1000000.0,15000000.0,3000000.0,,College,Tỉnh Kon Tum,Kon Tum,
