APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT,kmeans_labels,REPAYMENT_RATE,REMAINING_TERM,EXPENSE_INCOME_RATIO,INCOME,AGE_TERM_RATIO,INSURANCE_LOAN_RATIO
16609862,2017-10-12,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,30000000,1650000,31650000,45.0,24,13.0,1.0,26456000.0,1.0,1.0,1,2023033,M,31,0.0,9000000,0,12000000,20000000,4000000,Married,Middle School,Tỉnh Bình Thuận,Hàm Thuận Bắc,Tỉnh Bình Thuận,0,0.8358925750394944,11.0,0.5517241379310345,13000000,1.2916666666666667,0.055
16893478,2017-10-28,2018-10-26,12,FC CD MBW JULY OUT-1721,5243000,346038,5589038,0.01,6,6.0,1.0,5662000.0,1.0,1.0,1,932000,M,24,0.0,5000000,0,1000000,17000000,6000000,Single,High School,Tỉnh Tiền Giang,Cai Lậy,Tỉnh Tiền Giang,1,1.0130544827213557,0.0,0.3181818181818182,15000000,4.0,0.066
16814480,2017-10-26,2018-10-26,12,FC CD DMX SEP OUT-1896,9520000,628320,10148320,0.01,6,6.0,1.0,10224000.0,1.0,1.0,1,1692000,F,59,0.0,9000000,0,1000000,40000000,6000000,Other,Middle School,Tỉnh Lâm Đồng,Đức Trọng,Tỉnh Lâm Đồng,1,1.0074573919624135,0.0,0.14285714285714285,42000000,9.833333333333334,0.066
16810094,2017-10-30,2018-10-26,12,FC CD DP0 LP NEW-1851,2960000,148000,3108000,65.0,6,6.0,1.0,3798000.0,1.0,1.0,1,621000,F,24,1.0,8000000,0,1000000,17000000,3500000,Married,High School,Tỉnh Đồng Nai,Trảng Bom,Tỉnh Đồng Nai,1,1.222007722007722,0.0,0.18,20500000,4.0,0.05
16589473,2017-10-13,2018-10-26,12,FC CD UTILITY - 807,6000000,300000,6300000,60.0,9,9.0,1.0,8091000.0,1.0,1.0,1,887000,F,23,2.0,3800000,2000000,600000,15000000,3000000,Married,Working Cerfiticate,Tỉnh Tuyên Quang,Yên Sơn,Tỉnh Tuyên Quang,1,1.2842857142857143,0.0,0.17307692307692307,17200000,2.5555555555555554,0.05
16666306,2017-10-18,2018-10-26,12,FC TW ATTRACTIVE NEW - 151,16500000,825000,17325000,45.0,12,12.0,1.0,21984000.0,1.0,1.0,1,1820000,M,31,1.0,7000000,0,1000000,14000000,3000000,Married,Middle School,Tỉnh Bình Dương,Bến Cát,Tỉnh Bình Dương,0,1.268917748917749,0.0,0.19047619047619047,17000000,2.5833333333333335,0.05
16404620,2017-10-04,2018-10-26,12,FC CD OPPO JULY OUT-1790,4893000,322938,5215938,0.01,6,5.0,0.0,5289000.0,1.0,0.0,1,870000,F,38,2.0,8000000,0,2000000,28000000,8000000,Married,Middle School,TP Hồ Chí Minh,Quận 9,TP Hồ Chí Minh,1,1.014007451775692,1.0,0.2777777777777778,26000000,6.333333333333333,0.066
16769411,2017-10-21,2018-10-26,12,FC CD OPPO JULY OUT-1790,4893000,322938,5215938,0.01,6,6.0,1.0,5292000.0,1.0,1.0,1,870000,F,53,0.0,10000000,0,1000000,28000000,4500000,Married,College,Tỉnh Khánh Hòa,Nha Trang,Tỉnh Khánh Hòa,1,1.0145826119865688,0.0,0.14473684210526316,32500000,8.833333333333334,0.066
16754301,2017-10-20,2018-10-26,12,FC CD FPT OCT OUT-1970,8099100,534541,8633641,0.01,6,6.0,1.0,8706000.0,1.0,1.0,1,1439000,F,30,2.0,7000000,0,1000000,16000000,3500000,Married,High School,Tỉnh Đồng Nai,Nhơn Trạch,Tỉnh Đồng Nai,1,1.008381052675227,0.0,0.1956521739130435,18500000,5.0,0.06600004938820363
16876743,2017-10-27,2018-10-26,12,FC CD KEY DEALERS 1 - 811,5590000,279500,5869500,45.0,6,6.0,1.0,6789000.0,1.0,1.0,1,1111000,F,22,0.0,5500000,0,1000000,20000000,6000000,Single,Bachelor,Tỉnh Thừa Thiên - Huế,Huế,Tỉnh Thừa Thiên - Huế,1,1.15665729619218,0.0,0.27450980392156865,18500000,3.6666666666666665,0.05
